"""siteid""","""sitename""","""monitordate""","""aqi""","""so2subindex""","""cosubindex""","""o3subindex""","""pm10subindex""","""no2subindex""","""o38subindex""","""pm25subindex"""
65,宜蘭,2023-01-26,36,2,2,,12,12,36,31
66,冬山,2023-01-26,36,0,2,,14,15,36,23
67,三重,2023-01-26,55,8,10,,20,55,,39
68,中壢,2023-01-26,47,2,7,,23,47,,41
69,竹山,2023-01-26,58,2,3,,35,35,47,58
70,永和,2023-01-26,42,2,7,,18,42,,35
71,復興,2023-01-26,70,5,6,,48,38,,70
72,埔里,2023-01-26,44,5,3,,21,23,44,38
75,馬祖,2023-01-26,45,12,5,,16,15,38,45
77,金門,2023-01-26,53,5,2,,23,17,39,53
78,馬公,2023-01-26,40,0,1,,25,7,40,36
80,關山,2023-01-26,31,2,2,,10,15,31,26
83,麥寮,2023-01-26,53,5,2,,35,20,,53
84,富貴角,2023-01-26,44,0,2,,34,13,44,20
85,大城,2023-01-26,38,2,2,,29,18,38,36
1,基隆,2023-01-27,70,2,3,,52,23,44,70
2,汐止,2023-01-27,65,5,3,,47,37,42,65
3,萬里,2023-01-27,83,2,3,,80,3,45,83
4,新店,2023-01-27,61,5,3,,44,23,40,61
5,土城,2023-01-27,59,2,3,,44,30,40,59
6,板橋,2023-01-27,69,2,3,,47,35,37,69
7,新莊,2023-01-27,66,2,2,,52,15,42,66
8,菜寮,2023-01-27,70,2,3,,46,25,41,70
9,林口,2023-01-27,63,2,3,,47,8,44,63
10,淡水,2023-01-27,64,2,3,,45,20,44,64
11,士林,2023-01-27,66,2,3,,45,25,43,66
12,中山,2023-01-27,63,2,5,,47,33,38,63
13,萬華,2023-01-27,70,2,5,,44,38,36,70
14,古亭,2023-01-27,71,2,3,,44,27,40,71
15,松山,2023-01-27,68,2,3,,48,43,43,68
16,大同,2023-01-27,70,5,7,,55,40,,70
17,桃園,2023-01-27,70,2,3,,48,30,39,70
18,大園,2023-01-27,65,5,2,,51,28,42,65
19,觀音,2023-01-27,68,8,2,,56,12,44,68
20,平鎮,2023-01-27,73,2,3,,47,45,40,73
21,龍潭,2023-01-27,67,2,2,,43,23,40,67
22,湖口,2023-01-27,67,2,3,,49,18,42,67
23,竹東,2023-01-27,63,0,3,,43,15,43,63
24,新竹,2023-01-27,66,5,3,,48,25,40,66
25,頭份,2023-01-27,63,8,3,,45,23,,63
26,苗栗,2023-01-27,65,2,2,,47,18,43,65
27,三義,2023-01-27,61,2,3,,37,8,43,61
28,豐原,2023-01-27,57,2,3,,33,7,30,57
29,沙鹿,2023-01-27,63,2,3,,51,10,42,63
30,大里,2023-01-27,50,2,3,,36,23,35,50
31,忠明,2023-01-27,61,5,3,,39,15,38,61
32,西屯,2023-01-27,59,2,3,,46,12,42,59
33,彰化,2023-01-27,63,2,3,,,22,39,63
34,線西,2023-01-27,66,8,5,,56,18,,66
35,二林,2023-01-27,101,5,3,,101,13,41,63
36,南投,2023-01-27,64,2,3,,41,28,38,64
37,斗六,2023-01-27,66,2,3,,55,20,42,66
38,崙背,2023-01-27,74,5,3,,68,15,39,74
39,新港,2023-01-27,79,2,3,,79,13,43,67
40,朴子,2023-01-27,76,5,3,,76,13,43,71
41,臺西,2023-01-27,69,2,3,,51,10,,69
42,嘉義,2023-01-27,63,10,3,,48,23,43,63
43,新營,2023-01-27,67,5,3,,58,28,43,67
44,善化,2023-01-27,66,5,3,,56,27,44,66
45,安南,2023-01-27,75,2,3,,70,25,43,75
46,臺南,2023-01-27,75,2,5,,62,27,43,75
47,美濃,2023-01-27,62,2,3,,40,12,45,62
48,橋頭,2023-01-27,71,2,3,,65,25,43,71
49,仁武,2023-01-27,77,8,3,,59,30,44,77
50,鳳山,2023-01-27,75,5,6,,56,32,,75
51,大寮,2023-01-27,70,2,3,,53,25,46,70
52,林園,2023-01-27,70,10,5,,58,40,41,70
53,楠梓,2023-01-27,69,2,3,,59,30,44,69
54,左營,2023-01-27,71,2,3,,67,30,44,71
56,前金,2023-01-27,77,2,3,,62,28,45,77
57,前鎮,2023-01-27,69,5,5,,62,25,,69
58,小港,2023-01-27,73,5,5,,54,30,45,73
59,屏東,2023-01-27,65,2,3,,47,22,45,65
60,潮州,2023-01-27,78,2,3,,52,20,48,78
61,恆春,2023-01-27,41,2,2,,5,2,41,19
62,臺東,2023-01-27,36,2,3,,17,8,36,28
63,花蓮,2023-01-27,44,5,3,,31,12,41,44
64,陽明,2023-01-27,54,2,3,,39,3,44,54
65,宜蘭,2023-01-27,60,5,3,,37,7,42,60
66,冬山,2023-01-27,59,2,3,,40,17,40,59
67,三重,2023-01-27,70,2,8,,50,53,,70
68,中壢,2023-01-27,72,2,6,,51,35,,72
69,竹山,2023-01-27,64,2,3,,39,30,42,64
70,永和,2023-01-27,69,2,6,,48,42,,69
71,復興,2023-01-27,71,2,5,,60,27,,71
72,埔里,2023-01-27,41,2,3,,24,12,41,41
75,馬祖,2023-01-27,75,2,3,,45,7,47,75
77,金門,2023-01-27,77,2,3,,47,13,44,77
78,馬公,2023-01-27,62,2,2,,39,5,46,62
80,關山,2023-01-27,35,5,3,,12,10,35,33
83,麥寮,2023-01-27,70,5,3,,64,18,,70
84,富貴角,2023-01-27,78,0,2,,75,3,51,78
85,大城,2023-01-27,65,2,2,,60,10,44,65
1,基隆,2023-01-28,57,5,2,,42,8,43,57
2,汐止,2023-01-28,53,2,3,,38,33,37,53
3,萬里,2023-01-28,74,2,2,,74,3,45,64
4,新店,2023-01-28,52,2,2,,38,15,38,52
5,土城,2023-01-28,50,2,3,,39,15,37,50
6,板橋,2023-01-28,59,2,5,,38,37,36,59
7,新莊,2023-01-28,58,2,3,,42,23,37,58
8,菜寮,2023-01-28,58,2,5,,36,35,37,58
9,林口,2023-01-28,51,2,3,,37,22,38,51
10,淡水,2023-01-28,51,2,3,,36,22,39,51
11,士林,2023-01-28,53,2,2,,38,23,38,53
12,中山,2023-01-28,54,5,5,,40,40,36,54
13,萬華,2023-01-28,60,2,5,,36,50,35,60
14,古亭,2023-01-28,57,2,2,,37,25,37,57
15,松山,2023-01-28,57,2,3,,38,30,39,57
16,大同,2023-01-28,64,8,7,,49,57,,64
17,桃園,2023-01-28,56,2,3,,37,28,36,56
18,大園,2023-01-28,53,8,2,,40,30,38,53
19,觀音,2023-01-28,54,10,2,,46,17,41,54
20,平鎮,2023-01-28,65,2,3,,39,30,36,65
21,龍潭,2023-01-28,56,2,1,,35,13,39,56
22,湖口,2023-01-28,55,2,2,,38,22,40,55
23,竹東,2023-01-28,53,2,2,,37,8,39,53
24,新竹,2023-01-28,56,5,3,,41,23,36,56
25,頭份,2023-01-28,52,5,2,,39,17,,52
26,苗栗,2023-01-28,54,2,2,,38,18,39,54
27,三義,2023-01-28,53,2,2,,34,5,39,53
28,豐原,2023-01-28,56,2,2,,34,7,29,56
29,沙鹿,2023-01-28,61,5,2,,48,13,39,61
30,大里,2023-01-28,45,2,3,,36,23,36,45
31,忠明,2023-01-28,58,5,3,,39,20,38,58
32,西屯,2023-01-28,55,2,2,,41,8,40,55
33,彰化,2023-01-28,59,2,2,,42,15,38,59
34,線西,2023-01-28,59,8,3,,49,18,,59
35,二林,2023-01-28,64,5,3,,64,10,40,58
36,南投,2023-01-28,60,5,3,,40,30,36,60
37,斗六,2023-01-28,64,2,3,,48,12,41,64
38,崙背,2023-01-28,67,5,3,,56,13,38,67
39,新港,2023-01-28,63,5,3,,55,12,41,63
40,朴子,2023-01-28,67,5,3,,56,18,43,67
41,臺西,2023-01-28,65,5,2,,57,8,,65
42,嘉義,2023-01-28,61,25,3,,46,18,41,61
43,新營,2023-01-28,63,5,3,,50,17,42,63
44,善化,2023-01-28,64,5,3,,45,27,43,64
45,安南,2023-01-28,72,2,3,,55,18,44,72
46,臺南,2023-01-28,70,2,5,,54,25,42,70
47,美濃,2023-01-28,80,5,3,,51,15,48,80
48,橋頭,2023-01-28,76,5,3,,57,23,44,76
49,仁武,2023-01-28,77,2,3,,54,22,45,77
50,鳳山,2023-01-28,75,8,7,,55,37,,75
51,大寮,2023-01-28,78,10,5,,52,30,45,78
52,林園,2023-01-28,74,18,5,,60,38,46,74
53,楠梓,2023-01-28,72,5,3,,55,23,45,72
54,左營,2023-01-28,71,2,3,,55,25,46,71
56,前金,2023-01-28,76,2,3,,52,23,47,76
57,前鎮,2023-01-28,70,2,5,,59,28,,70
58,小港,2023-01-28,79,2,5,,55,30,46,79
59,屏東,2023-01-28,81,10,5,,55,22,47,81
60,潮州,2023-01-28,90,12,5,,60,27,49,90
61,恆春,2023-01-28,42,2,2,,13,2,42,32
62,臺東,2023-01-28,45,0,2,,25,10,37,45
63,花蓮,2023-01-28,55,5,3,,36,15,34,55
64,陽明,2023-01-28,46,2,2,,35,3,44,46
65,宜蘭,2023-01-28,57,5,2,,37,7,35,57
66,冬山,2023-01-28,56,2,2,,41,12,36,56
67,三重,2023-01-28,60,5,11,,42,57,,60
68,中壢,2023-01-28,60,2,6,,43,40,,60
69,竹山,2023-01-28,61,2,3,,40,17,40,61
70,永和,2023-01-28,57,2,5,,41,30,,57
71,復興,2023-01-28,72,2,5,,55,30,,72
72,埔里,2023-01-28,62,2,3,,36,17,38,62
75,馬祖,2023-01-28,79,2,3,,53,7,48,79
77,金門,2023-01-28,74,5,3,,58,8,49,74
78,馬公,2023-01-28,54,2,2,,39,3,47,54
80,關山,2023-01-28,57,5,2,,28,8,35,57
83,麥寮,2023-01-28,65,5,2,,64,17,,65
84,富貴角,2023-01-28,68,0,1,,68,3,50,61
85,大城,2023-01-28,64,2,2,,58,7,44,64
1,基隆,2023-01-29,53,2,3,,35,32,41,53
2,汐止,2023-01-29,53,5,5,,35,47,39,53
3,萬里,2023-01-29,59,0,2,,59,5,44,54
4,新店,2023-01-29,49,2,5,,33,48,40,49
5,土城,2023-01-29,45,5,5,,34,28,40,45
6,板橋,2023-01-29,58,5,5,,33,43,37,58
7,新莊,2023-01-29,57,2,5,,38,57,41,55
8,菜寮,2023-01-29,60,2,5,,33,53,39,60
9,林口,2023-01-29,48,2,3,,33,23,40,48
10,淡水,2023-01-29,43,2,3,,31,18,40,43
11,士林,2023-01-29,49,2,2,,34,30,41,49
12,中山,2023-01-29,57,5,6,,37,57,35,52
13,萬華,2023-01-29,58,5,5,,33,52,36,58
14,古亭,2023-01-29,52,5,3,,32,30,38,52
15,松山,2023-01-29,54,5,5,,36,50,39,54
16,大同,2023-01-29,62,5,6,,46,57,,62
17,桃園,2023-01-29,57,8,5,,36,42,39,57
18,大園,2023-01-29,51,8,2,,37,28,40,51
19,觀音,2023-01-29,52,12,2,,41,18,43,52
20,平鎮,2023-01-29,64,2,5,,35,48,40,64
21,龍潭,2023-01-29,49,2,2,,30,17,41,49
22,湖口,2023-01-29,53,5,2,,36,17,41,53
23,竹東,2023-01-29,44,2,2,,31,12,42,44
24,新竹,2023-01-29,56,2,3,,37,22,40,56
25,頭份,2023-01-29,53,8,3,,34,28,,53
26,苗栗,2023-01-29,57,8,3,,34,22,43,57
27,三義,2023-01-29,53,2,3,,30,15,44,53
28,豐原,2023-01-29,61,8,3,,34,15,31,61
29,沙鹿,2023-01-29,61,5,3,,41,15,44,61
30,大里,2023-01-29,68,8,6,,43,45,44,68
31,忠明,2023-01-29,59,5,3,,35,25,46,59
32,西屯,2023-01-29,60,5,3,,39,22,47,60
33,彰化,2023-01-29,66,5,5,,42,23,45,66
34,線西,2023-01-29,65,10,5,,44,25,,65
35,二林,2023-01-29,61,8,5,,51,18,45,61
36,南投,2023-01-29,76,5,5,,42,35,47,76
37,斗六,2023-01-29,84,5,5,,59,18,48,84
38,崙背,2023-01-29,76,8,3,,50,25,44,76
39,新港,2023-01-29,68,5,5,,50,20,48,68
40,朴子,2023-01-29,66,8,3,,44,12,48,66
41,臺西,2023-01-29,61,5,2,,41,17,,61
42,嘉義,2023-01-29,73,18,5,,52,23,47,73
43,新營,2023-01-29,69,8,3,,48,23,48,69
44,善化,2023-01-29,78,8,3,,46,22,46,78
45,安南,2023-01-29,74,5,3,,47,23,48,74
46,臺南,2023-01-29,78,5,6,,52,42,44,78
47,美濃,2023-01-29,77,2,3,,47,12,51,77
48,橋頭,2023-01-29,83,5,3,,58,25,49,83
49,仁武,2023-01-29,85,5,5,,56,33,47,85
50,鳳山,2023-01-29,88,10,8,,58,50,,88
51,大寮,2023-01-29,81,5,5,,51,30,50,81
52,林園,2023-01-29,80,45,5,,59,40,44,80
53,楠梓,2023-01-29,81,2,3,,55,25,50,81
54,左營,2023-01-29,82,5,5,,57,27,48,82
56,前金,2023-01-29,84,5,5,,55,25,49,84
57,前鎮,2023-01-29,80,5,6,,59,32,,80
58,小港,2023-01-29,87,8,6,,55,43,47,87
59,屏東,2023-01-29,88,5,5,,55,25,58,88
60,潮州,2023-01-29,97,10,5,,57,23,51,97
61,恆春,2023-01-29,44,2,2,,12,0,44,29
62,臺東,2023-01-29,38,2,2,,23,10,38,37
63,花蓮,2023-01-29,45,2,3,,29,23,34,45
64,陽明,2023-01-29,44,2,2,,28,3,44,38
65,宜蘭,2023-01-29,54,2,2,,34,15,39,54
66,冬山,2023-01-29,52,8,2,,34,12,39,52
67,三重,2023-01-29,59,2,11,,38,59,,59
68,中壢,2023-01-29,56,2,7,,38,52,,56
69,竹山,2023-01-29,77,5,5,,46,28,54,77
70,永和,2023-01-29,55,5,5,,37,45,,55
71,復興,2023-01-29,83,2,7,,57,38,,83
72,埔里,2023-01-29,58,2,5,,30,15,47,58
75,馬祖,2023-01-29,85,10,3,,50,10,58,85
77,金門,2023-01-29,68,5,3,,46,12,58,68
78,馬公,2023-01-29,55,2,2,,36,3,54,55
80,關山,2023-01-29,43,2,2,,19,7,39,43
83,麥寮,2023-01-29,64,5,5,,46,22,,64
84,富貴角,2023-01-29,54,0,2,,41,2,54,44
85,大城,2023-01-29,59,2,2,,42,17,49,59
1,基隆,2023-01-30,54,5,8,,30,48,51,54
2,汐止,2023-01-30,50,2,3,,30,48,50,48
3,萬里,2023-01-30,67,2,2,,31,17,67,45
4,新店,2023-01-30,48,2,3,,27,35,48,44
5,土城,2023-01-30,49,5,3,,28,27,49,36
6,板橋,2023-01-30,52,5,3,,27,47,45,52
7,新莊,2023-01-30,52,2,5,,37,52,49,52
8,菜寮,2023-01-30,50,5,3,,26,48,49,50
9,林口,2023-01-30,50,5,2,,28,25,50,40
10,淡水,2023-01-30,52,5,3,,24,52,46,37
11,士林,2023-01-30,50,5,2,,26,17,50,40
12,中山,2023-01-30,59,5,5,,31,59,42,44
13,萬華,2023-01-30,55,5,3,,28,55,43,46
14,古亭,2023-01-30,47,2,2,,28,32,47,47
15,松山,2023-01-30,55,2,3,,32,55,48,47
16,大同,2023-01-30,58,8,6,,40,58,,54
17,桃園,2023-01-30,48,2,3,,29,43,47,48
18,大園,2023-01-30,54,18,2,,30,54,48,41
19,觀音,2023-01-30,53,12,2,,38,35,50,53
20,平鎮,2023-01-30,53,2,3,,29,38,46,53
21,龍潭,2023-01-30,41,0,2,,24,23,41,39
22,湖口,2023-01-30,47,5,3,,31,23,47,46
23,竹東,2023-01-30,44,0,2,,23,20,44,37
24,新竹,2023-01-30,47,2,3,,30,28,44,47
25,頭份,2023-01-30,44,8,3,,29,35,,44
26,苗栗,2023-01-30,53,5,3,,31,42,46,53
27,三義,2023-01-30,49,2,3,,26,30,49,44
28,豐原,2023-01-30,54,5,3,,31,35,31,54
29,沙鹿,2023-01-30,53,5,3,,36,52,51,53
30,大里,2023-01-30,75,5,8,,49,55,44,75
31,忠明,2023-01-30,59,5,6,,36,57,48,59
32,西屯,2023-01-30,56,2,3,,39,53,51,56
33,彰化,2023-01-30,69,2,6,,45,51,49,69
34,線西,2023-01-30,60,12,5,,43,38,,60
35,二林,2023-01-30,63,10,3,,50,28,51,63
36,南投,2023-01-30,81,5,6,,48,48,48,81
37,斗六,2023-01-30,108,8,6,,73,38,51,108
38,崙背,2023-01-30,82,8,3,,54,23,50,82
39,新港,2023-01-30,81,8,5,,57,18,64,81
40,朴子,2023-01-30,79,8,5,,48,23,64,79
41,臺西,2023-01-30,57,5,2,,37,20,,57
42,嘉義,2023-01-30,108,35,6,,69,48,58,108
43,新營,2023-01-30,84,8,5,,56,28,54,84
44,善化,2023-01-30,91,8,5,,54,30,58,91
45,安南,2023-01-30,98,8,6,,59,37,58,98
46,臺南,2023-01-30,103,5,8,,64,54,47,103
47,美濃,2023-01-30,86,2,6,,51,22,67,86
48,橋頭,2023-01-30,94,2,6,,63,43,44,94
49,仁武,2023-01-30,100,15,7,,65,56,67,100
50,鳳山,2023-01-30,95,10,9,,61,55,,95
51,大寮,2023-01-30,109,35,8,,65,54,50,109
52,林園,2023-01-30,92,10,6,,66,38,90,92
53,楠梓,2023-01-30,82,5,6,,58,45,71,82
54,左營,2023-01-30,94,8,7,,63,54,87,94
56,前金,2023-01-30,95,5,7,,60,45,87,95
57,前鎮,2023-01-30,92,10,8,,66,59,,92
58,小港,2023-01-30,105,18,8,,64,57,64,105
59,屏東,2023-01-30,91,5,5,,59,42,74,91
60,潮州,2023-01-30,119,10,6,,64,30,87,119
61,恆春,2023-01-30,54,2,2,,13,2,54,26
62,臺東,2023-01-30,44,2,2,,25,10,44,35
63,花蓮,2023-01-30,44,2,3,,27,33,44,37
64,陽明,2023-01-30,71,5,2,,25,3,71,28
65,宜蘭,2023-01-30,54,2,2,,27,13,54,44
66,冬山,2023-01-30,48,8,2,,27,15,48,36
67,三重,2023-01-30,64,8,11,,34,64,,57
68,中壢,2023-01-30,55,2,9,,37,55,,53
69,竹山,2023-01-30,78,5,5,,45,33,77,78
70,永和,2023-01-30,48,2,5,,29,33,,48
71,復興,2023-01-30,98,8,10,,65,60,,98
72,埔里,2023-01-30,58,5,5,,30,32,58,56
75,馬祖,2023-01-30,84,10,5,,43,15,61,84
77,金門,2023-01-30,106,15,5,,58,40,64,106
78,馬公,2023-01-30,77,2,2,,32,5,77,42
80,關山,2023-01-30,41,2,2,,20,8,40,41
83,麥寮,2023-01-30,78,35,5,,51,28,,78
84,富貴角,2023-01-30,90,2,1,,32,3,90,33
85,大城,2023-01-30,77,2,2,,39,23,77,50
1,基隆,2023-01-31,55,2,7,,30,55,43,51
2,汐止,2023-01-31,69,5,8,,37,69,34,59
3,萬里,2023-01-31,46,8,2,,26,20,46,46
4,新店,2023-01-31,63,8,7,,34,63,45,55
5,土城,2023-01-31,62,10,6,,37,62,50,55
6,板橋,2023-01-31,72,10,9,,37,72,45,66
7,新莊,2023-01-31,61,5,7,,41,58,51,61
8,菜寮,2023-01-31,78,5,10,,39,78,44,71
9,林口,2023-01-31,64,8,6,,39,64,49,61
10,淡水,2023-01-31,64,5,7,,34,64,45,55
11,士林,2023-01-31,62,5,7,,36,62,41,62
12,中山,2023-01-31,75,5,11,,,75,29,65
13,萬華,2023-01-31,74,5,10,,36,74,32,65
14,古亭,2023-01-31,65,5,8,,34,65,41,60
15,松山,2023-01-31,74,8,10,,40,74,34,63
16,大同,2023-01-31,76,8,18,,46,76,,70
17,桃園,2023-01-31,70,10,7,,44,64,58,70
18,大園,2023-01-31,72,12,5,,46,56,58,72
19,觀音,2023-01-31,75,10,3,,46,45,67,75
20,平鎮,2023-01-31,74,8,6,,35,55,74,71
21,龍潭,2023-01-31,77,2,5,,29,47,77,56
22,湖口,2023-01-31,74,5,3,,37,51,74,62
23,竹東,2023-01-31,58,5,3,,28,32,58,47
24,新竹,2023-01-31,64,18,7,,37,60,64,60
25,頭份,2023-01-31,57,8,5,,33,35,,57
26,苗栗,2023-01-31,64,5,3,,33,38,64,57
27,三義,2023-01-31,64,10,3,,34,27,64,53
28,豐原,2023-01-31,63,8,6,,35,33,37,63
29,沙鹿,2023-01-31,82,8,8,,55,62,58,82
30,大里,2023-01-31,77,12,7,,54,62,48,77
31,忠明,2023-01-31,86,10,9,,57,69,54,86
32,西屯,2023-01-31,83,10,7,,59,66,58,83
33,彰化,2023-01-31,95,10,9,,61,55,50,95
34,線西,2023-01-31,90,8,6,,60,53,,90
35,二林,2023-01-31,104,5,6,,75,42,93,104
36,南投,2023-01-31,74,5,6,,45,54,74,73
37,斗六,2023-01-31,104,8,5,,70,30,74,104
38,崙背,2023-01-31,111,5,6,,72,42,77,111
39,新港,2023-01-31,107,12,5,,75,48,80,107
40,朴子,2023-01-31,102,8,5,,64,38,80,102
41,臺西,2023-01-31,94,5,5,,62,35,,94
42,嘉義,2023-01-31,88,30,6,,60,40,77,88
43,新營,2023-01-31,91,8,6,,62,47,67,91
44,善化,2023-01-31,88,12,5,,55,45,67,88
45,安南,2023-01-31,92,8,6,,58,55,67,92
46,臺南,2023-01-31,94,8,9,,59,58,44,94
47,美濃,2023-01-31,93,5,3,,36,18,93,60
48,橋頭,2023-01-31,87,12,5,,60,48,35,87
49,仁武,2023-01-31,84,18,6,,56,63,61,84
50,鳳山,2023-01-31,75,18,9,,47,64,,75
51,大寮,2023-01-31,82,20,6,,53,53,74,82
52,林園,2023-01-31,80,15,5,,51,37,80,67
53,楠梓,2023-01-31,78,5,5,,53,58,71,78
54,左營,2023-01-31,90,8,6,,57,64,90,79
56,前金,2023-01-31,77,8,6,,50,51,67,77
57,前鎮,2023-01-31,72,10,8,,56,62,,72
58,小港,2023-01-31,78,18,7,,47,64,49,78
59,屏東,2023-01-31,100,12,5,,48,52,100,76
60,潮州,2023-01-31,100,12,6,,56,40,100,92
61,恆春,2023-01-31,51,2,1,,14,2,51,23
62,臺東,2023-01-31,46,2,3,,20,25,46,28
63,花蓮,2023-01-31,46,5,2,,22,37,46,32
64,陽明,2023-01-31,51,5,3,,25,18,51,29
65,宜蘭,2023-01-31,44,2,2,,27,17,44,41
66,冬山,2023-01-31,47,0,2,,31,33,47,38
67,三重,2023-01-31,79,5,18,,45,79,,77
68,中壢,2023-01-31,73,12,12,,47,67,,73
69,竹山,2023-01-31,71,5,3,,42,27,71,70
70,永和,2023-01-31,74,2,15,,38,74,,63
71,復興,2023-01-31,77,10,9,,49,64,,77
72,埔里,2023-01-31,90,5,5,,34,25,90,61
75,馬祖,2023-01-31,63,8,6,,33,18,61,63
77,金門,2023-01-31,76,5,3,,44,28,64,76
78,馬公,2023-01-31,87,2,3,,37,18,87,55
80,關山,2023-01-31,42,2,1,,17,12,42,31
83,麥寮,2023-01-31,97,8,5,,63,42,,97
84,富貴角,2023-01-31,100,5,3,,33,28,100,45
85,大城,2023-01-31,97,2,5,,60,32,97,88
